Map Name,Personal Best,Rank,Bonus,Date,Start Speed
surf_fornax,00:10.0195,13,7,2019-08-12 22:17:21,412 u/s
surf_fortress,00:12.1055,6,1,2021-04-10 21:47:55,338 u/s
surf_fortress,00:04.0078,10,2,2021-04-10 16:36:49,385 u/s
surf_fortress,00:22.2773,8,3,2021-04-10 16:48:49,385 u/s
surf_fortress,00:18.0469,4,4,2021-04-10 17:08:57,385 u/s
surf_fortress,00:08.8711,12,5,2021-04-10 16:51:16,385 u/s
surf_fortum,00:11.5664,66,1,2018-09-26 16:42:18,475 u/s
surf_fortum,00:46.3828,1624,2,2018-09-26 17:02:15,485 u/s
surf_frequency_njv,00:11.0977,16,2,2019-05-11 12:32:21,-1 u/s
surf_frey_remake_go,00:20.8477,8,1,2020-12-01 08:22:47,515 u/s
surf_friday_csgo,00:14.1914,38,1,2018-10-26 19:06:19,503 u/s
surf_froots_go,00:19.2422,4,2,2019-03-02 19:54:23,-1 u/s
surf_froots_go,00:05.7422,12,3,2019-03-02 20:02:32,-1 u/s
surf_frost,00:15.1875,3,1,2023-01-12 13:57:09,448 u/s
surf_frost,00:12.7734,5,2,2023-01-12 14:04:15,447 u/s
surf_frost,00:14.6016,19,3,2023-01-12 14:08:47,447 u/s
surf_frost,00:09.0820,18,4,2023-01-12 14:11:40,447 u/s
surf_frost,00:17.9766,1,6,2019-08-13 01:17:12,-1 u/s
surf_frost,00:12.6328,20,8,2023-01-12 14:24:56,447 u/s
surf_fruits,00:13.3242,87,1,2017-10-29 17:13:21,407 u/s
surf_fuckyall,00:12.3633,18,1,2022-12-08 15:59:25,515 u/s
surf_fuckyou,00:13.7695,22,1,2018-02-07 05:32:07,475 u/s
surf_funhouse2,00:16.5703,6,2,2020-02-04 10:13:44,-1 u/s
surf_funhouse2,00:21.2813,10,3,2020-02-04 10:27:42,-1 u/s
surf_funhouse2,00:19.5117,8,6,2020-02-01 20:14:43,488 u/s
surf_furios,00:03.3750,18,1,2018-02-04 12:21:02,446 u/s
surf_garden_go,00:12.7148,13,1,2020-07-24 08:21:54,507 u/s
surf_garden_go,00:13.5234,116,2,2019-05-28 04:42:20,508 u/s
surf_garden_go,00:15.0469,40,3,2019-05-25 06:51:48,484 u/s
surf_garden_h_go,00:10.2891,57,1,2019-05-24 23:56:03,506 u/s
surf_garden_h_go,00:07.2656,42,2,2019-05-25 04:04:22,486 u/s
surf_gary_barlow,00:15.3750,1,1,2022-11-01 12:55:31,506 u/s
surf_gary_barlow,00:12.0234,4,2,2022-11-01 12:37:11,0 u/s
surf_gekar,00:15.0586,7,1,2019-04-14 18:29:24,260 u/s
surf_gekyume_circumcision,00:15.5977,43,1,2019-03-20 14:57:09,477 u/s
surf_germania,00:24.6563,2,1,2019-12-05 02:54:51,511 u/s
surf_germania,00:46.9805,2,2,2021-01-08 11:06:50,-1 u/s
surf_giza,00:19.8516,43,1,2021-06-10 10:57:23,277 u/s
surf_giza,00:11.7656,4,2,2022-10-09 17:40:20,-1 u/s
surf_giza,00:09.8203,43,3,2021-05-28 22:22:35,-1 u/s
surf_giza,00:20.3086,25,4,2021-05-29 03:49:03,293 u/s
surf_giza,00:22.2188,7,5,2021-11-28 09:18:57,-1 u/s
surf_giza,00:10.4063,7,6,2021-05-29 04:21:40,293 u/s
surf_giza,00:09.7031,10,7,2021-05-30 11:50:07,332 u/s
surf_gleam,00:22.1367,52,1,2019-08-09 21:37:20,489 u/s
surf_gleam,00:21.3867,100,2,2017-12-06 00:50:27,-1 u/s
surf_gleam2,00:07.5117,13,1,2019-11-11 21:23:50,506 u/s
surf_gleam2,00:26.0859,3,2,2020-01-13 22:14:51,-1 u/s
surf_gleam2,00:24.3164,5,3,2019-11-11 21:16:35,488 u/s
surf_gleam2,00:09.7266,31,4,2019-11-12 01:07:35,491 u/s
surf_globalchaos,00:05.7188,168,1,2017-11-06 10:01:01,473 u/s
surf_gloomy,00:12.0938,4,2,2021-08-24 19:04:26,260 u/s
surf_gloomy,00:15.3984,5,4,2021-08-24 18:30:45,260 u/s
surf_glorious,00:21.4570,20,1,2018-09-20 03:16:27,451 u/s
surf_golden_a,00:23.1914,10,1,2021-03-18 09:34:20,497 u/s
surf_golden_a,00:17.4023,32,2,2018-06-29 21:17:12,444 u/s
surf_greek,00:15.1289,7,2,2022-10-27 20:36:20,-1 u/s
surf_greek,00:21.5977,3,3,2022-10-26 22:04:11,506 u/s
surf_grid,00:03.6328,54,1,2017-12-02 22:29:16,477 u/s
surf_grid,00:05.9063,62,2,2019-02-21 20:19:24,270 u/s
surf_grotto,00:11.6250,12,1,2020-01-06 20:13:32,508 u/s
surf_grotto,00:12.0938,28,3,2020-01-06 20:10:07,513 u/s
surf_gudrun,00:09.2461,5,1,2021-02-09 08:43:52,506 u/s
surf_gudrun,00:20.0039,6,2,2021-02-09 12:55:14,-1 u/s
surf_gudrun,00:25.8281,2,3,2021-02-09 12:26:07,-1 u/s
surf_guitar_hi,00:05.1328,399,1,2018-02-09 05:12:03,486 u/s
surf_hades,00:09.5273,26,1,2017-11-29 19:32:02,491 u/s
surf_hades,00:18.8320,120,2,2017-11-29 19:14:41,415 u/s
surf_hades2,00:13.1719,40,1,2019-07-03 10:48:40,376 u/s
surf_hades2,00:19.6992,15,2,2020-08-13 08:02:39,-1 u/s
surf_hades2,00:14.8008,38,3,2019-07-03 09:50:07,-1 u/s
surf_hades2,00:18.6094,17,4,2019-07-03 10:41:52,384 u/s
surf_hades2,00:20.0977,30,5,2019-07-03 09:45:44,-1 u/s
surf_half_baked,00:14.4961,25,1,2017-11-19 18:35:45,476 u/s
surf_halloween_fix,00:07.6758,3,1,2019-12-30 19:04:46,493 u/s
surf_happyhands2,00:12.8672,11,1,2018-02-07 16:46:34,506 u/s
surf_happyhands2,00:15.4453,34,2,2018-02-07 17:09:51,506 u/s
surf_happyhands2,00:20.4375,23,3,2018-02-07 17:01:25,506 u/s
surf_happyhands2,00:06.9492,5,5,2019-03-27 17:21:28,-1 u/s
surf_happyhands3,00:13.9102,14,1,2017-12-11 19:03:07,501 u/s
surf_happyhands3,00:08.8359,29,3,2017-12-11 18:08:26,-1 u/s
surf_happyhands_test,00:09.3516,77,1,2019-01-17 13:27:18,498 u/s
surf_happyhands_test,00:06.2227,17,2,2019-01-17 13:22:20,-1 u/s
surf_harmony,00:05.7070,7,3,2022-03-05 14:34:20,491 u/s
surf_haze,00:05.2852,103,1,2017-11-15 22:33:24,390 u/s
surf_haze,00:05.0391,46,2,2017-11-15 22:45:28,420 u/s
surf_heaven,00:07.7695,84,1,2017-11-13 18:52:27,451 u/s
surf_hellscape,00:21.1172,4,1,2022-11-06 14:59:32,445 u/s
surf_hellscape,00:22.5703,2,3,2022-11-06 15:17:16,466 u/s
surf_hellscape,00:07.7578,12,4,2022-11-06 15:24:24,466 u/s
surf_hero_fix,00:21.9023,33,1,2018-08-21 11:38:56,495 u/s
surf_hero_fix,00:24.0703,24,2,2018-08-21 11:38:56,488 u/s
surf_hero_fix,00:23.7188,6,3,2018-08-21 11:38:56,488 u/s
surf_hero_fix,00:12.0234,5,5,2019-09-25 01:44:20,248 u/s
surf_het,00:06.9844,15,3,2021-03-11 13:42:35,490 u/s
surf_het,00:16.4414,20,4,2021-03-11 13:51:21,490 u/s
surf_highlands,00:15.2930,158,1,2018-05-07 17:52:50,499 u/s
surf_highlands,00:14.8477,46,2,2021-01-26 09:00:50,-1 u/s
surf_highlands,00:15.1758,77,3,2018-05-07 17:49:17,500 u/s
surf_hollow,00:20.9531,24,1,2018-06-02 04:50:43,500 u/s
surf_hope,00:21.3984,21,1,2018-01-13 20:42:21,578 u/s
surf_hotrod,00:13.9453,3,1,2020-10-26 20:19:34,490 u/s
surf_hotrod,00:10.3828,9,2,2021-03-11 09:49:07,-1 u/s
surf_hotwheels,00:07.8047,41,1,2020-11-09 21:12:43,479 u/s
surf_hotwheels,00:18.2461,10,2,2020-01-04 21:52:56,-1 u/s
surf_hotwheels,00:21.8086,49,3,2020-01-11 10:53:48,-1 u/s
surf_hotwheels,00:15.9141,3,5,2020-01-11 10:29:44,-1 u/s
surf_hotwheels,00:57.4102,3,7,2020-01-04 22:23:35,-1 u/s
